longitude,latitude,Level_0_(pieces/m3),Level_1_(pieces/m3),Level_2p_(pieces/km2)
-12.0,-90.0,0.0,0.0,0.0
-10.0,-90.0,0.0,0.0,0.0
-8.0,-90.0,0.0,0.0,0.0
-6.0,-90.0,0.0,0.0,0.0
-4.0,-90.0,0.0,0.0,0.0
-2.0,-90.0,0.0,0.0,0.0
0.0,-90.0,0.0,0.0,0.0
2.0,-90.0,0.0,0.0,0.0
4.0,-90.0,0.0,0.0,0.0
6.0,-90.0,0.0,0.0,0.0
8.0,-90.0,0.0,0.0,0.0
10.0,-90.0,0.0,0.0,0.0
12.0,-90.0,0.0,0.0,0.0
14.0,-90.0,0.0,0.0,0.0
16.0,-90.0,0.0,0.0,0.0
18.0,-90.0,0.0,0.0,0.0
20.0,-90.0,0.0,0.0,0.0
22.0,-90.0,0.0,0.0,0.0
24.0,-90.0,0.0,0.0,0.0
26.0,-90.0,0.0,0.0,0.0
28.0,-90.0,0.0,0.0,0.0
30.0,-90.0,0.0,0.0,0.0
32.0,-90.0,0.0,0.0,0.0
34.0,-90.0,0.0,0.0,0.0
36.0,-90.0,0.0,0.0,0.0
38.0,-90.0,0.0,0.0,0.0
40.0,-90.0,0.0,0.0,0.0
42.0,-90.0,0.0,0.0,0.0
44.0,-90.0,0.0,0.0,0.0
46.0,-90.0,0.0,0.0,0.0
48.0,-90.0,0.0,0.0,0.0
50.0,-90.0,0.0,0.0,0.0
52.0,-90.0,0.0,0.0,0.0
54.0,-90.0,0.0,0.0,0.0
56.0,-90.0,0.0,0.0,0.0
58.0,-90.0,0.0,0.0,0.0
60.0,-90.0,0.0,0.0,0.0
62.0,-90.0,0.0,0.0,0.0
64.0,-90.0,0.0,0.0,0.0
66.0,-90.0,0.0,0.0,0.0
68.0,-90.0,0.0,0.0,0.0
70.0,-90.0,0.0,0.0,0.0
72.0,-90.0,0.0,0.0,0.0
74.0,-90.0,0.0,0.0,0.0
76.0,-90.0,0.0,0.0,0.0
78.0,-90.0,0.0,0.0,0.0
80.0,-90.0,0.0,0.0,0.0
82.0,-90.0,0.0,0.0,0.0
84.0,-90.0,0.0,0.0,0.0
86.0,-90.0,0.0,0.0,0.0
88.0,-90.0,0.0,0.0,0.0
90.0,-90.0,0.0,0.0,0.0
92.0,-90.0,0.0,0.0,0.0
94.0,-90.0,0.0,0.0,0.0
96.0,-90.0,0.0,0.0,0.0
98.0,-90.0,0.0,0.0,0.0
100.0,-90.0,0.0,0.0,0.0
102.0,-90.0,1.653e-320,1.664e-320,4.55419831e-314
104.0,-90.0,1.19797271356e-312,1.204481748654e-312,3.300410777168813e-306
106.0,-90.0,2.911841004264091e-308,2.924993705378802e-308,8.023607876196898e-302
108.0,-90.0,2.374283276274703e-307,2.382834024803296e-307,6.54358186628432e-301
110.0,-90.0,6.4944376889127e-310,6.51188608407935e-310,1.790216391093869e-303
112.0,-90.0,5.95929275e-316,5.9698572e-316,1.643007943172877e-309
114.0,-90.0,0.0,0.0,0.0
116.0,-90.0,0.0,0.0,0.0
118.0,-90.0,0.0,0.0,0.0
120.0,-90.0,0.0,0.0,0.0
122.0,-90.0,0.0,0.0,0.0
124.0,-90.0,0.0,0.0,0.0
126.0,-90.0,0.0,0.0,0.0
128.0,-90.0,0.0,0.0,0.0
130.0,-90.0,0.0,0.0,0.0
132.0,-90.0,0.0,0.0,0.0
134.0,-90.0,0.0,0.0,0.0
136.0,-90.0,0.0,0.0,0.0
138.0,-90.0,0.0,0.0,0.0
140.0,-90.0,0.0,0.0,0.0
142.0,-90.0,0.0,0.0,0.0
144.0,-90.0,0.0,0.0,0.0
146.0,-90.0,0.0,0.0,0.0
148.0,-90.0,0.0,0.0,0.0
150.0,-90.0,0.0,0.0,0.0
152.0,-90.0,0.0,0.0,0.0
154.0,-90.0,0.0,0.0,0.0
156.0,-90.0,0.0,0.0,0.0
158.0,-90.0,0.0,0.0,0.0
160.0,-90.0,0.0,0.0,0.0
162.0,-90.0,0.0,0.0,0.0
164.0,-90.0,0.0,0.0,0.0
166.0,-90.0,0.0,0.0,0.0
168.0,-90.0,0.0,0.0,0.0
170.0,-90.0,0.0,0.0,0.0
172.0,-90.0,0.0,0.0,0.0
174.0,-90.0,0.0,0.0,0.0
176.0,-90.0,0.0,0.0,0.0
178.0,-90.0,0.0,0.0,0.0
180.0,-90.0,0.0,0.0,0.0
-180.0,-88.0,0.0,0.0,0.0
-178.0,-88.0,0.0,0.0,0.0
-176.0,-88.0,0.0,0.0,0.0
-174.0,-88.0,0.0,0.0,0.0
-172.0,-88.0,0.0,0.0,0.0
-170.0,-88.0,0.0,0.0,0.0
-168.0,-88.0,0.0,0.0,0.0
-166.0,-88.0,0.0,0.0,0.0
-164.0,-88.0,0.0,0.0,0.0
-162.0,-88.0,0.0,0.0,0.0
-160.0,-88.0,0.0,0.0,0.0
-158.0,-88.0,0.0,0.0,0.0
-156.0,-88.0,0.0,0.0,0.0
-154.0,-88.0,0.0,0.0,0.0
-152.0,-88.0,0.0,0.0,0.0
-150.0,-88.0,0.0,0.0,0.0
-148.0,-88.0,0.0,0.0,0.0
-146.0,-88.0,0.0,0.0,0.0
-144.0,-88.0,0.0,0.0,0.0
-142.0,-88.0,0.0,0.0,0.0
-140.0,-88.0,0.0,0.0,0.0
-138.0,-88.0,0.0,0.0,0.0
-136.0,-88.0,0.0,0.0,0.0
-134.0,-88.0,0.0,0.0,0.0
-132.0,-88.0,0.0,0.0,0.0
-130.0,-88.0,0.0,0.0,0.0
-128.0,-88.0,0.0,0.0,0.0
-126.0,-88.0,0.0,0.0,0.0
-124.0,-88.0,0.0,0.0,0.0
-122.0,-88.0,0.0,0.0,0.0
-120.0,-88.0,0.0,0.0,0.0
-118.0,-88.0,0.0,0.0,0.0
-116.0,-88.0,0.0,0.0,0.0
-114.0,-88.0,0.0,0.0,0.0
-112.0,-88.0,0.0,0.0,0.0
-110.0,-88.0,0.0,0.0,0.0
-108.0,-88.0,0.0,0.0,0.0
-106.0,-88.0,0.0,0.0,0.0
-104.0,-88.0,0.0,0.0,0.0
-102.0,-88.0,0.0,0.0,0.0
-100.0,-88.0,0.0,0.0,0.0
-98.0,-88.0,0.0,0.0,0.0
-96.0,-88.0,0.0,0.0,0.0
-94.0,-88.0,0.0,0.0,0.0
-92.0,-88.0,0.0,0.0,0.0
-90.0,-88.0,0.0,0.0,0.0
-88.0,-88.0,0.0,0.0,0.0
-86.0,-88.0,0.0,0.0,0.0
-84.0,-88.0,0.0,0.0,0.0
-82.0,-88.0,0.0,0.0,0.0
-80.0,-88.0,0.0,0.0,0.0
-78.0,-88.0,0.0,0.0,0.0
-76.0,-88.0,-2.4607222381299e-310,-2.48064417992873e-310,-1.0023440371368566e-304
-74.0,-88.0,-3.1449363579319994e-289,-3.1687141666007853e-289,-1.2802843502757045e-283
-72.0,-88.0,-1.3482666540957583e-271,-1.3577382353486268e-271,-5.485347719340483e-266
-70.0,-88.0,-1.938878583476618e-257,-1.951459608626474e-257,-7.883249790736344e-252
-68.0,-88.0,-9.352593414113665e-247,-9.408258870103044e-247,-3.800182804354725e-241
-66.0,-88.0,-1.51326607265147e-239,-1.5214587729256009e-239,-6.144629966656026e-234
-64.0,-88.0,-8.212868801647439e-236,-8.252903568743505e-236,-3.3325156127656645e-230
-62.0,-88.0,-1.4950807861228095e-235,-1.50155995650478e-235,-6.062142141960473e-230
-60.0,-88.0,-9.128883117620995e-239,-9.163486488978074e-239,-3.6986966362936236e-233
-58.0,-88.0,-1.8695884968346524e-245,-1.8756548341668563e-245,-7.568851870788671e-240
-56.0,-88.0,-1.2569997345624107e-250,-1.246912665680661e-250,8.748156256137622e-249
-54.0,-88.0,-1.5829056161623521e-252,-1.5694629805333773e-252,1.1666552529192652e-250
-52.0,-88.0,-6.686878555578971e-258,-6.6269660545640585e-258,4.926753305688186e-256
-50.0,-88.0,-9.476238800422647e-267,-9.38690797966005e-267,6.979482734798715e-265
-48.0,-88.0,-4.504978283009175e-279,-4.460407318524618e-279,3.316880328523719e-277
-46.0,-88.0,-7.184450416867999e-295,-7.110016748194373e-295,5.28786687276883e-293
-44.0,-88.0,-3.8436032884e-314,-3.8019891104e-314,2.827973678885e-312
-42.0,-88.0,0.0,0.0,0.0
-40.0,-88.0,0.0,0.0,0.0
-38.0,-88.0,0.0,0.0,0.0
-36.0,-88.0,0.0,0.0,0.0
-34.0,-88.0,0.0,0.0,0.0
-32.0,-88.0,0.0,0.0,0.0
-30.0,-88.0,0.0,0.0,0.0
-28.0,-88.0,0.0,0.0,0.0
-26.0,-88.0,0.0,0.0,0.0
-24.0,-88.0,0.0,0.0,0.0
-22.0,-88.0,0.0,0.0,0.0
-20.0,-88.0,0.0,0.0,0.0
-18.0,-88.0,0.0,0.0,0.0
-16.0,-88.0,0.0,0.0,0.0
-14.0,-88.0,0.0,0.0,0.0
-12.0,-88.0,0.0,0.0,0.0
-10.0,-88.0,0.0,0.0,0.0
-8.0,-88.0,0.0,0.0,0.0
-6.0,-88.0,0.0,0.0,0.0
-4.0,-88.0,0.0,0.0,0.0
-2.0,-88.0,0.0,0.0,0.0
0.0,-88.0,0.0,0.0,0.0
2.0,-88.0,0.0,0.0,0.0
4.0,-88.0,0.0,0.0,0.0
6.0,-88.0,0.0,0.0,0.0
8.0,-88.0,0.0,0.0,0.0
10.0,-88.0,0.0,0.0,0.0
12.0,-88.0,0.0,0.0,0.0
14.0,-88.0,0.0,0.0,0.0
16.0,-88.0,0.0,0.0,0.0
18.0,-88.0,0.0,0.0,0.0
20.0,-88.0,0.0,0.0,0.0
22.0,-88.0,0.0,0.0,0.0
24.0,-88.0,0.0,0.0,0.0
26.0,-88.0,0.0,0.0,0.0
28.0,-88.0,0.0,0.0,0.0
30.0,-88.0,0.0,0.0,0.0
32.0,-88.0,0.0,0.0,0.0
34.0,-88.0,0.0,0.0,0.0
36.0,-88.0,0.0,0.0,0.0
38.0,-88.0,0.0,0.0,0.0
40.0,-88.0,0.0,0.0,0.0
42.0,-88.0,0.0,0.0,0.0
44.0,-88.0,0.0,0.0,0.0
46.0,-88.0,0.0,0.0,0.0
48.0,-88.0,0.0,0.0,0.0
50.0,-88.0,0.0,0.0,0.0
52.0,-88.0,0.0,0.0,0.0
54.0,-88.0,0.0,0.0,0.0
56.0,-88.0,0.0,0.0,0.0
58.0,-88.0,0.0,0.0,0.0
60.0,-88.0,0.0,0.0,0.0
62.0,-88.0,0.0,0.0,0.0
64.0,-88.0,0.0,0.0,0.0
66.0,-88.0,0.0,0.0,0.0
68.0,-88.0,0.0,0.0,0.0
70.0,-88.0,0.0,0.0,0.0
72.0,-88.0,0.0,0.0,0.0
74.0,-88.0,0.0,0.0,0.0
76.0,-88.0,0.0,0.0,0.0
78.0,-88.0,0.0,0.0,0.0
80.0,-88.0,0.0,0.0,0.0
82.0,-88.0,0.0,0.0,0.0
84.0,-88.0,0.0,0.0,0.0
86.0,-88.0,0.0,0.0,0.0
88.0,-88.0,0.0,0.0,0.0
90.0,-88.0,0.0,0.0,0.0
92.0,-88.0,0.0,0.0,0.0
94.0,-88.0,0.0,0.0,0.0
96.0,-88.0,1.3616e-320,1.374e-320,3.74610454e-314
98.0,-88.0,2.6138015375440876e-302,2.634445061883821e-302,7.19132344608543e-296
100.0,-88.0,1.6829100581175848e-287,1.694655495240147e-287,4.631035260143197e-281
102.0,-88.0,3.63490736801329e-276,3.656940101588713e-276,1.000441036623744e-269
104.0,-88.0,2.633722016779842e-268,2.6472710747554606e-268,7.250184395133288e-262
106.0,-88.0,6.401631419069126e-264,6.4286995122670974e-264,1.7625877669258053e-257
108.0,-88.0,5.219820174560013e-263,5.237113469644483e-263,1.437462738377797e-256
110.0,-88.0,1.4277907446746987e-265,1.4312153498203254e-265,3.932661665149854e-259
112.0,-88.0,1.3101400654223385e-271,1.3120854875413304e-271,3.6092811929984747e-265
114.0,-88.0,4.03287757442522e-281,4.035184747235245e-281,1.1112173075322628e-274
116.0,-88.0,4.16831077483353e-294,4.166906126756733e-294,1.14935341518048e-287
118.0,-88.0,1.201757123633622e-296,1.204834944731536e-296,5.183705665832981e-290
120.0,-88.0,1.25128179862553e-299,1.2542101869421665e-299,5.391846276067721e-293
122.0,-88.0,4.370566113356364e-306,4.379829831840449e-306,1.8813899261777563e-299
124.0,-88.0,5.12111354e-316,5.13083794e-316,2.20223809783001e-309
126.0,-88.0,0.0,0.0,0.0
128.0,-88.0,0.0,0.0,0.0
130.0,-88.0,0.0,0.0,0.0
132.0,-88.0,0.0,0.0,0.0
134.0,-88.0,0.0,0.0,0.0
136.0,-88.0,0.0,0.0,0.0
138.0,-88.0,0.0,0.0,0.0
140.0,-88.0,0.0,0.0,0.0
142.0,-88.0,0.0,0.0,0.0
144.0,-88.0,0.0,0.0,0.0
146.0,-88.0,0.0,0.0,0.0
148.0,-88.0,0.0,0.0,0.0
150.0,-88.0,0.0,0.0,0.0
152.0,-88.0,0.0,0.0,0.0
154.0,-88.0,0.0,0.0,0.0
156.0,-88.0,0.0,0.0,0.0
158.0,-88.0,0.0,0.0,0.0
160.0,-88.0,0.0,0.0,0.0
162.0,-88.0,0.0,0.0,0.0
164.0,-88.0,0.0,0.0,0.0
166.0,-88.0,0.0,0.0,0.0
168.0,-88.0,0.0,0.0,0.0
170.0,-88.0,0.0,0.0,0.0
172.0,-88.0,0.0,0.0,0.0
174.0,-88.0,0.0,0.0,0.0
176.0,-88.0,0.0,0.0,0.0
178.0,-88.0,0.0,0.0,0.0
180.0,-88.0,0.0,0.0,0.0
-180.0,-86.0,0.0,0.0,0.0
-178.0,-86.0,0.0,0.0,0.0
-176.0,-86.0,0.0,0.0,0.0
-174.0,-86.0,0.0,0.0,0.0
-172.0,-86.0,0.0,0.0,0.0
-170.0,-86.0,0.0,0.0,0.0
-168.0,-86.0,0.0,0.0,0.0
-166.0,-86.0,0.0,0.0,0.0
-164.0,-86.0,0.0,0.0,0.0
-162.0,-86.0,0.0,0.0,0.0
-160.0,-86.0,0.0,0.0,0.0
-158.0,-86.0,0.0,0.0,0.0
-156.0,-86.0,0.0,0.0,0.0
-154.0,-86.0,0.0,0.0,0.0
-152.0,-86.0,0.0,0.0,0.0
-150.0,-86.0,0.0,0.0,0.0
-148.0,-86.0,0.0,0.0,0.0
-146.0,-86.0,0.0,0.0,0.0
-144.0,-86.0,0.0,0.0,0.0
-142.0,-86.0,0.0,0.0,0.0
-140.0,-86.0,0.0,0.0,0.0
-138.0,-86.0,0.0,0.0,0.0
-136.0,-86.0,0.0,0.0,0.0
-134.0,-86.0,0.0,0.0,0.0
-132.0,-86.0,0.0,0.0,0.0
-130.0,-86.0,0.0,0.0,0.0
-128.0,-86.0,0.0,0.0,0.0
-126.0,-86.0,0.0,0.0,0.0
-124.0,-86.0,0.0,0.0,0.0
-122.0,-86.0,0.0,0.0,0.0
-120.0,-86.0,0.0,0.0,0.0
-118.0,-86.0,0.0,0.0,0.0
-116.0,-86.0,0.0,0.0,0.0
-114.0,-86.0,0.0,0.0,0.0
-112.0,-86.0,0.0,0.0,0.0
-110.0,-86.0,0.0,0.0,0.0
-108.0,-86.0,0.0,0.0,0.0
-106.0,-86.0,0.0,0.0,0.0
-104.0,-86.0,0.0,0.0,0.0
-102.0,-86.0,0.0,0.0,0.0
-100.0,-86.0,0.0,0.0,0.0
-98.0,-86.0,0.0,0.0,0.0
-96.0,-86.0,0.0,0.0,0.0
-94.0,-86.0,0.0,0.0,0.0
-92.0,-86.0,0.0,0.0,0.0
-90.0,-86.0,0.0,0.0,0.0
-88.0,-86.0,0.0,0.0,0.0
-86.0,-86.0,0.0,0.0,0.0
-84.0,-86.0,0.0,0.0,0.0
-82.0,-86.0,0.0,0.0,0.0
-80.0,-86.0,0.0,0.0,-6.20023e-319
-78.0,-86.0,-1.7214391606259286e-296,-1.7356476714414003e-296,-7.009722620392165e-291
-76.0,-86.0,-6.557059319247482e-272,-6.607676926414756e-272,-2.6683388267551057e-266
-74.0,-86.0,-8.37779950260524e-251,-8.43799192280389e-251,-3.4070260845837843e-245
-72.0,-86.0,-3.5904508760199256e-233,-3.614324487700027e-233,-1.4591426590920062e-227
-70.0,-86.0,-5.1613138415976926e-219,-5.1928628737144115e-219,-2.0960443337110802e-213
-68.0,-86.0,-2.4886114595668098e-208,-2.5024844896247297e-208,-1.0098926121103004e-202
-66.0,-86.0,-4.0246849541806826e-201,-4.044948461348807e-201,-1.6319709446047222e-195
-64.0,-86.0,-2.1831122073906542e-197,-2.192920261883339e-197,-8.845071100431753e-192
-62.0,-86.0,-3.971731359222736e-197,-3.987410454964148e-197,-1.6077910888422026e-191
-60.0,-86.0,-2.423440014066194e-200,-2.431677361193572e-200,-9.801291394284636e-195
-58.0,-86.0,-4.959353968201387e-207,-4.973467406199908e-207,-2.0037634428652145e-201
-56.0,-86.0,-1.8656701919039575e-210,-1.851886417002296e-210,1.374342708037067e-208
-54.0,-86.0,-2.34941136104183e-212,-2.3309544727455876e-212,1.7318212217194618e-210
-52.0,-86.0,-9.92493063884719e-218,-9.842319543109794e-218,7.313433773722519e-216
-50.0,-86.0,-1.4065009859174867e-226,-1.3941364282967246e-226,1.0360572488348424e-224
-48.0,-86.0,-6.686467627122197e-239,-6.624562999093974e-239,4.923685663339094e-237
-46.0,-86.0,-1.066344655028021e-254,-1.0559742756545344e-254,7.849482565650981e-253
-44.0,-86.0,-5.704828476989881e-274,-5.646685338768051e-274,4.197936685402361e-272
-42.0,-86.0,-1.0238391470261633e-296,-1.0129266113207516e-296,7.531385603366358e-295
-40.0,-86.0,0.0,0.0,0.0
-38.0,-86.0,0.0,0.0,0.0
-36.0,-86.0,0.0,0.0,0.0
-34.0,-86.0,0.0,0.0,0.0
-32.0,-86.0,0.0,0.0,0.0
-30.0,-86.0,0.0,0.0,0.0
-28.0,-86.0,0.0,0.0,0.0
-26.0,-86.0,0.0,0.0,0.0
-24.0,-86.0,0.0,0.0,0.0
-22.0,-86.0,0.0,0.0,0.0
-20.0,-86.0,0.0,0.0,0.0
-18.0,-86.0,0.0,0.0,0.0
-16.0,-86.0,0.0,0.0,0.0
-14.0,-86.0,0.0,0.0,0.0
-12.0,-86.0,0.0,0.0,0.0
-10.0,-86.0,0.0,0.0,0.0
-8.0,-86.0,0.0,0.0,0.0
-6.0,-86.0,0.0,0.0,0.0
-4.0,-86.0,0.0,0.0,0.0
-2.0,-86.0,0.0,0.0,0.0
0.0,-86.0,0.0,0.0,0.0
2.0,-86.0,0.0,0.0,0.0
4.0,-86.0,0.0,0.0,0.0
6.0,-86.0,0.0,0.0,0.0
8.0,-86.0,0.0,0.0,0.0
10.0,-86.0,0.0,0.0,0.0
12.0,-86.0,0.0,0.0,0.0
14.0,-86.0,0.0,0.0,0.0
16.0,-86.0,0.0,0.0,0.0
18.0,-86.0,0.0,0.0,0.0
20.0,-86.0,0.0,0.0,0.0
22.0,-86.0,0.0,0.0,0.0
24.0,-86.0,0.0,0.0,0.0
26.0,-86.0,0.0,0.0,0.0
28.0,-86.0,0.0,0.0,0.0
30.0,-86.0,0.0,0.0,0.0
32.0,-86.0,0.0,0.0,0.0
34.0,-86.0,0.0,0.0,0.0
36.0,-86.0,0.0,0.0,0.0
38.0,-86.0,0.0,0.0,0.0
40.0,-86.0,0.0,0.0,0.0
42.0,-86.0,0.0,0.0,0.0
44.0,-86.0,0.0,0.0,0.0
46.0,-86.0,0.0,0.0,0.0
48.0,-86.0,0.0,0.0,0.0
50.0,-86.0,0.0,0.0,0.0
52.0,-86.0,0.0,0.0,0.0
54.0,-86.0,0.0,0.0,0.0
56.0,-86.0,0.0,0.0,0.0
58.0,-86.0,0.0,0.0,0.0
60.0,-86.0,0.0,0.0,0.0
62.0,-86.0,0.0,0.0,0.0
64.0,-86.0,0.0,0.0,0.0
66.0,-86.0,0.0,0.0,0.0
68.0,-86.0,0.0,0.0,0.0
70.0,-86.0,0.0,0.0,0.0
72.0,-86.0,0.0,0.0,0.0
74.0,-86.0,0.0,0.0,0.0
76.0,-86.0,0.0,0.0,0.0
78.0,-86.0,0.0,0.0,0.0
80.0,-86.0,0.0,0.0,0.0
82.0,-86.0,0.0,0.0,0.0
84.0,-86.0,0.0,0.0,0.0
86.0,-86.0,0.0,0.0,0.0
88.0,-86.0,0.0,0.0,0.0
90.0,-86.0,0.0,0.0,0.0
92.0,-86.0,0.0,0.0,0.0
94.0,-86.0,1.7554788538288605e-301,1.7720638268042894e-301,4.824229133784597e-295
96.0,-86.0,1.0043743425085677e-279,1.0129391310304453e-279,2.7606344460140274e-273
98.0,-86.0,1.9277013964914034e-261,1.9423678539044e-261,5.299489340575721e-255
100.0,-86.0,1.2411608236521942e-246,1.2494640351482163e-246,3.4127406701921306e-240
102.0,-86.0,2.6807758388645932e-235,2.696250151408116e-235,7.37253253759388e-229
104.0,-86.0,1.9423929234072621e-227,1.951824431859534e-227,5.342865636245622e-221
106.0,-86.0,4.7212589208114455e-223,4.73985943214525e-223,1.2989007034215064e-216
108.0,-86.0,3.8496628360644624e-222,3.8613068831336665e-222,1.0593068878935052e-215
110.0,-86.0,1.0530081082562605e-224,1.055230464938218e-224,2.89808944498209e-218
112.0,-86.0,9.662397077349238e-231,9.67396401408485e-231,2.659781242331978e-224
114.0,-86.0,2.9742823318571223e-240,2.97512870964645e-240,8.188874162705158e-234
116.0,-86.0,4.2750146965916564e-253,4.276192712146129e-253,1.365485561242117e-246
118.0,-86.0,3.736063518164348e-253,3.744873368740439e-253,1.6114912334006816e-246
120.0,-86.0,3.890027516253098e-256,3.8983417176107664e-256,1.6761972160182575e-249
122.0,-86.0,1.3587364941482443e-262,1.3613406689930785e-262,5.84879537553044e-256
124.0,-86.0,1.592069241328371e-272,1.5947693382875318e-272,6.846236298802752e-266
126.0,-86.0,6.257960366841682e-286,6.2671931588087605e-286,2.688323242513184e-279
128.0,-86.0,1.4756820437847238e-299,1.486637049750902e-299,1.5650072641616997e-293
130.0,-86.0,5.411707521628428e-300,5.4543195760374816e-300,5.73250206877896e-294
132.0,-86.0,6.6613599927759624e-304,6.7167902110274006e-304,7.0599243245525304e-298
134.0,-86.0,2.7506519226107e-311,2.774770907652e-311,2.916755438915925e-305
136.0,-86.0,3.8e-322,3.85e-322,4.045069e-316
138.0,-86.0,0.0,0.0,0.0
140.0,-86.0,0.0,0.0,0.0
142.0,-86.0,0.0,0.0,0.0
144.0,-86.0,0.0,0.0,0.0
146.0,-86.0,0.0,0.0,0.0
148.0,-86.0,0.0,0.0,0.0
150.0,-86.0,0.0,0.0,0.0
152.0,-86.0,0.0,0.0,0.0
154.0,-86.0,0.0,0.0,0.0
156.0,-86.0,0.0,0.0,0.0
158.0,-86.0,0.0,0.0,0.0
160.0,-86.0,0.0,0.0,0.0
162.0,-86.0,0.0,0.0,0.0
164.0,-86.0,0.0,0.0,0.0
166.0,-86.0,0.0,0.0,0.0
168.0,-86.0,0.0,0.0,0.0
170.0,-86.0,0.0,0.0,0.0
172.0,-86.0,0.0,0.0,0.0
174.0,-86.0,0.0,0.0,0.0
176.0,-86.0,0.0,0.0,0.0
178.0,-86.0,0.0,0.0,0.0
180.0,-86.0,0.0,0.0,0.0
-180.0,-84.0,0.0,0.0,0.0
-178.0,-84.0,0.0,0.0,0.0
-176.0,-84.0,0.0,0.0,0.0
-174.0,-84.0,0.0,0.0,0.0
-172.0,-84.0,0.0,0.0,0.0
